vertrag;opbel;tariftyp;classe;anlage;anomes;vkont;city1;ClasseTxt;Subclasse;Modalidade;Subgrupo;tipofat;Consumo;Demanda;billing_period;DiasFatura;De;Ate;belnr;ablbelnr;MotivoLeitura;UnidadeLeitura;eq1;Registrador;DataLeitura;TipoLeitura;Leitura;StatusLeitura;NotaDeLeitura;Medicao;FlagGD;Operando;Fator;DataAte;DataDe;InscricaoEstadual;DataLigacaoUC;DataEncerramentoContrato
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;21;T45MU90X;16689174;5;27/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;22;T45MU90X;16389969;5;26/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;6;30/09/2022;1;9580;4; ;9515;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;6;31/10/2022;1;16749;4; ;16749;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;22;T45MU90X;16389969;6;26/09/2022;1;1798;4; ;1798;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;21;T45MU90X;16689174;6;27/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;22;T45MU90X;16389969;7;26/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;21;T45MU90X;16689174;7;27/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;8;30/09/2022;1;0;4; ;-6559;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;8;31/10/2022;1;6;4; ;-11;Com GD;NA;null;null;null; ;20220826;99991231
